lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea

32.75,-109.84,2017-06-19 02:40:00,NOAA,AVHRR,99,199.224,958.594,7.165,63.555,low_veg,1.49933,0.1,0.1,6.50339,45,9.31
35.58,-118.55,2017-06-19 02:40:00,NOAA,AVHRR,95.903,275.132,744.152,13.235,59.75,low_veg,1.32464,0.1,0.1,5.43324,40,9.31
35.58,-118.57,2017-06-19 02:40:00,NOAA,AVHRR,95.83,268.012,710.655,13.249,59.359,low_veg,1.31019,0.1,0.1,5.25844,39,9.31
35.59,-118.55,2017-06-19 02:40:00,NOAA,AVHRR,95.906,257.377,652.37,13.217,59.544,low_veg,1.32381,0.1,0.1,4.94846,40,9.31
35.59,-118.56,2017-06-19 02:40:00,NOAA,AVHRR,95.87,265.44,696.646,13.224,59.482,O1,6.58334,0.35,0.35,0.363082,691,30.21
35.59,-118.57,2017-06-19 02:40:00,NOAA,AVHRR,95.834,256.658,652.479,13.231,59.214,O1,6.54802,0.35,0.35,0.346583,688,30.21
35.6,-118.56,2017-06-19 02:40:00,NOAA,AVHRR,95.873,247.577,604.287,13.207,59.241,O1,6.58001,0.35,0.35,0.328207,691,30.21
35.6,-118.57,2017-06-19 02:40:00,NOAA,AVHRR,95.837,244.766,591.474,13.214,59.041,O1,6.54428,0.35,0.35,0.323251,687,30.21
33.015,-79.884,2017-06-19 03:07:00,USFS,MODIS,86.842,25.231,234.946,17.958,14.762,bog,0.317448,0.1,0.1,2.39644,10,26.94
36.354,-76.808,2017-06-19 03:07:00,USFS,MODIS,81.851,18.882,313.951,20.945,8.713,M1,1.79259,1.14562,1.14562,2.94409,616,32.4
25.85,-101.66,2017-06-19 03:35:00,NOAA,AVHRR,88.986,131.557,771.083,13.584,31.355,D1,0.354719,1.44869,1.44869,5.57213,154,21.44
29.94,-108.87,2017-06-19 03:35:00,NOAA,AVHRR,97.059,171.601,822.788,11.491,61.59,M1,19.6961,3.04775,3.43975,5.8349,20325,32.4
29.99,-108.89,2017-06-19 03:35:00,NOAA,AVHRR,97.044,200.53,913.474,11.406,61.833,M1,19.6823,3.10296,3.49496,6.28454,20637,32.4
30.26,-109.58,2017-06-19 03:35:00,NOAA,AVHRR,97.917,221.63,946.15,10.76,65.209,low_veg,1.56738,0.1,0.1,6.44334,47,9.31
30.27,-109.58,2017-06-19 03:35:00,NOAA,AVHRR,97.93,230.43,976.564,10.745,65.305,low_veg,1.56906,0.1,0.1,6.58972,47,9.31
30.53,-109.13,2017-06-19 03:35:00,NOAA,AVHRR,97.9,209.03,876.016,10.532,64.533,C1,26.9845,1.48451,2.23451,6.10046,18089,28.58
30.54,-109.14,2017-06-19 03:35:00,NOAA,AVHRR,97.919,201.439,847.039,10.507,64.486,C1,27.0335,1.48458,2.23458,5.95649,18123,28.58
32.74,-109.91,2017-06-19 03:35:00,NOAA,AVHRR,99,181.332,875.546,7.228,63.396,C1,25.7283,1.488,2.238,6.09814,17274,28.58
35.37,-111.95,2017-06-19 03:35:00,NOAA,AVHRR,98.445,159.724,433.615,10.106,63.378,C3,32.9966,4.29714,5.44714,3.70274,53921,28.58
28.599,-108.893,2017-06-19 04:43:00,USFS,MODIS,95.514,143.579,802.282,12.596,55.389,D1,1.19198,1.46025,1.46025,5.73128,522,21.44
28.599,-108.9,2017-06-19 04:43:00,USFS,MODIS,95.515,143.439,801.574,12.593,55.382,D1,1.19195,1.46011,1.46011,5.72768,522,21.44
28.614,-108.898,2017-06-19 04:43:00,USFS,MODIS,95.528,151,825.139,12.586,55.712,D1,1.19553,1.46617,1.46617,5.84673,526,21.44
28.827,-108.417,2017-06-19 04:43:00,USFS,MODIS,95.083,156.079,820.192,12.638,53.856,D1,1.10877,1.46874,1.46874,5.82183,489,21.44
28.842,-108.42,2017-06-19 04:43:00,USFS,MODIS,95.531,145.452,785.283,12.734,55.721,D1,1.20644,1.46057,1.46057,5.64479,529,21.44
28.848,-108.391,2017-06-19 04:43:00,USFS,MODIS,95.097,143.034,778.419,12.643,53.469,D1,1.10977,1.45849,1.45849,5.60971,486,21.44
29.784,-108.603,2017-06-19 04:43:00,USFS,MODIS,96.675,167.952,850.916,11.844,60.326,M1,18.9647,3.04638,3.43838,5.97584,19562,32.4
29.956,-108.809,2017-06-19 04:43:00,USFS,MODIS,97.048,153.341,765.58,11.517,61.032,M1,19.5928,2.99722,3.38922,5.54386,19921,32.4
29.964,-108.838,2017-06-19 04:43:00,USFS,MODIS,97.072,133.424,695.683,11.487,60.073,C2,38.18,4.37173,5.17173,5.17954,59237,28.58
29.969,-108.814,2017-06-19 04:43:00,USFS,MODIS,97.066,173.892,833.986,11.499,61.7,M1,19.7379,3.05385,3.44585,5.89117,20404,32.4
29.978,-108.845,2017-06-19 04:43:00,USFS,MODIS,97.093,155.155,767.86,11.466,61.217,C2,38.7258,4.53302,5.33302,5.55558,61958,28.58
30.024,-108.835,2017-06-19 04:43:00,USFS,MODIS,97.077,193.179,896.516,11.35,61.81,C1,23.3551,1.48124,2.22374,6.20148,15581,28.58
30.027,-108.84,2017-06-19 04:43:00,USFS,MODIS,97.084,175.652,836.788,11.343,61.529,C1,23.3413,1.48127,2.22377,5.90522,15572,28.58
30.185,-109.536,2017-06-19 04:43:00,USFS,MODIS,97.809,219.813,945.729,10.874,64.863,C1,27.3036,1.48418,2.23418,6.4413,18300,28.58
30.199,-109.54,2017-06-19 04:43:00,USFS,MODIS,97.828,212.156,917.625,10.854,64.856,C1,27.3701,1.48425,2.23425,6.3048,18345,28.58
30.271,-109.567,2017-06-19 04:43:00,USFS,MODIS,97.929,216.069,925.947,10.744,65.195,C1,27.8162,1.48461,2.23461,6.34535,18648,28.58
30.292,-109.542,2017-06-19 04:43:00,USFS,MODIS,97.95,219.971,938.726,10.714,65.276,C1,27.8963,1.48469,2.23469,6.4074,18702,28.58
30.486,-109.648,2017-06-19 04:43:00,USFS,MODIS,98.233,246.168,1015.53,10.394,66.259,low_veg,1.60876,0.1,0.1,6.77534,48,9.31
30.492,-109.623,2017-06-19 04:43:00,USFS,MODIS,98.235,247.002,1018.09,10.382,66.248,low_veg,1.60812,0.1,0.1,6.78746,48,9.31
32.7,-109.849,2017-06-19 04:43:00,USFS,MODIS,99,140.01,752.557,7.213,62.053,low_veg,1.50346,0.1,0.1,5.47674,45,9.31
32.702,-109.855,2017-06-19 04:43:00,USFS,MODIS,99,146.202,772.672,7.214,62.356,O1,7.51771,0.35,0.35,0.390789,789,30.21
32.702,-109.906,2017-06-19 04:43:00,USFS,MODIS,99,118.854,668.411,7.247,60.551,low_veg,1.50646,0.1,0.1,5.03454,45,9.31
32.707,-109.834,2017-06-19 04:43:00,USFS,MODIS,99,164.215,839.128,7.196,62.982,O1,7.51001,0.35,0.35,0.414366,789,30.21
32.718,-109.833,2017-06-19 04:43:00,USFS,MODIS,99,173.341,871.816,7.181,63.182,O1,7.50353,0.35,0.35,0.425762,788,30.21
32.721,-109.839,2017-06-19 04:43:00,USFS,MODIS,99,172.864,869.258,7.181,63.17,low_veg,1.50071,0.1,0.1,6.06701,45,9.31
32.737,-109.903,2017-06-19 04:43:00,USFS,MODIS,99,165.48,819.485,7.226,63.026,C1,25.6746,1.488,2.238,5.81826,17238,28.58
32.769,-109.893,2017-06-19 04:43:00,USFS,MODIS,99,213.343,998.357,7.188,63.721,low_veg,1.50127,0.1,0.1,6.69379,45,9.31
32.771,-109.899,2017-06-19 04:43:00,USFS,MODIS,99,212.088,992.415,7.191,63.718,low_veg,1.5016,0.1,0.1,6.66548,45,9.31
32.774,-109.868,2017-06-19 04:43:00,USFS,MODIS,99,227.248,1055.62,7.163,63.766,low_veg,1.49916,0.1,0.1,6.96417,45,9.31
32.777,-109.874,2017-06-19 04:43:00,USFS,MODIS,99,227.607,1055.62,7.165,63.77,low_veg,1.49933,0.1,0.1,6.96417,45,9.31
35.398,-111.806,2017-06-19 04:43:00,USFS,MODIS,98.386,145.904,373.367,10.135,61.415,C1,29.0293,1.48616,2.23616,3.32963,19474,28.58
35.403,-111.846,2017-06-19 04:43:00,USFS,MODIS,98.396,124.956,288.232,10.16,58.437,O1,8.13039,0.35,0.35,0.194036,854,30.21
35.406,-111.839,2017-06-19 04:43:00,USFS,MODIS,98.393,109.387,223.569,10.165,55.545,O1,8.1292,0.35,0.35,0.162012,854,30.21
35.408,-111.891,2017-06-19 04:43:00,USFS,MODIS,98.409,152.026,403.267,10.186,62.526,O1,8.15774,0.35,0.35,0.246284,857,30.21
35.411,-111.815,2017-06-19 04:43:00,USFS,MODIS,98.384,142.851,362.657,10.171,61.058,C3,32.2961,4.00462,5.15462,3.26153,49942,28.58
35.411,-111.884,2017-06-19 04:43:00,USFS,MODIS,98.406,143.506,367.892,10.191,61.362,O1,8.15655,0.35,0.35,0.230742,856,30.21
35.413,-111.81,2017-06-19 04:43:00,USFS,MODIS,98.382,142.409,360.922,10.175,60.99,C1,29.0847,1.48615,2.23615,3.25044,19511,28.58
35.418,-111.851,2017-06-19 04:43:00,USFS,MODIS,98.393,113.709,243.508,10.2,56.478,C1,28.961,1.48618,2.23618,2.45812,19429,28.58
35.42,-111.845,2017-06-19 04:43:00,USFS,MODIS,98.39,110.197,228.936,10.203,55.767,C1,28.9061,1.48617,2.23618,2.35275,19392,28.58
35.584,-118.575,2017-06-19 06:24:00,USFS,MODIS,95.814,256.372,651.092,13.245,59.137,O1,6.53222,0.35,0.35,0.34606,686,30.21
35.584,-118.583,2017-06-19 06:24:00,USFS,MODIS,95.784,250.107,619.772,13.251,58.915,O1,6.50268,0.35,0.35,0.334157,683,30.21
35.586,-118.549,2017-06-19 06:24:00,USFS,MODIS,95.909,269.516,715.34,13.224,59.713,low_veg,1.32505,0.1,0.1,5.28303,40,9.31
35.586,-118.556,2017-06-19 06:24:00,USFS,MODIS,95.883,268.984,713.899,13.228,59.589,low_veg,1.31982,0.1,0.1,5.27547,40,9.31
35.596,-118.58,2017-06-19 06:24:00,USFS,MODIS,95.799,242.77,582.383,13.228,58.854,C1,19.6324,1.47472,2.21722,4.56538,13059,28.58
35.596,-118.588,2017-06-19 06:24:00,USFS,MODIS,95.77,230.315,518.561,13.233,58.526,C1,19.4438,1.47454,2.21704,4.20424,12932,28.58
35.598,-118.553,2017-06-19 06:24:00,USFS,MODIS,95.898,248.143,605.616,13.206,59.368,low_veg,1.32124,0.1,0.1,4.69396,40,9.31
