lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
52.67,-124.2,2017-08-08 03:02:00,NOAA,AVHRR,93.035,118.749,613.565,6.767,35.555,D1,0.494886,1.41982,1.41982,4.73762,211,9.94
53.37,-124.59,2017-08-08 03:02:00,NOAA,AVHRR,93.3,96.195,502.62699999999995,6.957999999999999,34.482,C2,14.8797,3.8804199999999995,4.64842,4.1121,20750,11.67
45.43,-115.22,2017-08-08 03:02:00,NOAA,AVHRR,95.977,165.641,496.976,9.353,51.346000000000004,C3,16.5097,4.44015,5.54415,4.079219999999999,27460,28.58
52.32,-123.6,2017-08-08 03:02:00,NOAA,AVHRR,92.90799999999999,119.921,698.6289999999999,6.836,35.603,C3,4.72856,4.31376,4.70476,5.1951,6674,11.67
45.44,-115.22,2017-08-08 03:02:00,NOAA,AVHRR,95.99799999999999,167.30900000000003,499.48199999999997,9.357000000000001,51.508,C3,16.6234,4.45251,5.55651,4.09382,27710,28.58
53.5,-125.14,2017-08-08 03:02:00,NOAA,AVHRR,92.492,102.785,493.791,6.337000000000001,31.736,D1,0.427246,1.3736700000000002,1.3736700000000002,4.06064,176,9.94
45.42,-115.22,2017-08-08 03:02:00,NOAA,AVHRR,95.95700000000001,181.375,523.379,9.349,51.809,C3,16.5018,4.54953,5.65353,4.23193,27988,28.58
53.48,-125.21,2017-08-08 03:02:00,NOAA,AVHRR,92.391,104.09899999999999,495.787,6.266,31.46,D1,0.416465,1.37669,1.37669,4.07229,172,9.94
45.43,-115.26,2017-08-08 03:02:00,NOAA,AVHRR,96.054,132.784,439.525,9.323,49.736999999999995,C3,16.5616,4.11152,5.20402,3.7385,25856,28.58
40.66,-91.0,2017-08-08 03:03:00,NOAA,AVHRR,88.833,106.695,486.134,6.471,22.395,low_veg,0.20228,0.1,0.1,4.01584,6,9.31
40.66,-91.02,2017-08-08 03:03:00,NOAA,AVHRR,88.836,108.45,489.51800000000003,6.473,22.505,low_veg,0.202467,0.1,0.1,4.03566,6,9.31
40.66,-91.01,2017-08-08 03:03:00,NOAA,AVHRR,88.835,107.21700000000001,487.981,6.472,22.436999999999998,low_veg,0.202405,0.1,0.1,4.02666,6,9.31
32.45,-97.05,2017-08-08 03:43:00,NOAA,AVHRR,82.59200000000001,69.47800000000001,591.146,13.152000000000001,13.618,O1,0.440475,0.35,0.35,0.32312399999999997,46,30.21
32.46,-97.04,2017-08-08 03:43:00,NOAA,AVHRR,82.645,69.191,586.5169999999999,13.168,13.662,O1,0.44573999999999997,0.35,0.35,0.321325,47,30.21
46.39,-113.64,2017-08-08 03:46:00,NOAA,AVHRR,93.243,168.93,531.313,10.905999999999999,42.806000000000004,O1,3.5489800000000002,0.35,0.35,0.299547,373,30.21
50.86,-121.22,2017-08-08 03:46:00,NOAA,AVHRR,93.73200000000001,235.017,778.013,8.122,42.111000000000004,C2,18.6007,4.77013,5.554130000000001,5.60764,30993,11.67
48.78,-120.48,2017-08-08 03:46:00,NOAA,AVHRR,93.721,222.975,740.238,7.5489999999999995,41.208,C3,6.956689999999999,4.82892,5.55342,5.41293,11590,28.58
50.99,-115.98,2017-08-08 03:46:00,NOAA,AVHRR,85.73200000000001,98.641,377.214,7.135,15.673,C2,3.3772300000000004,3.73185,4.09185,3.35395,4146,11.67
48.87,-120.43,2017-08-08 03:46:00,NOAA,AVHRR,93.976,219.15099999999998,685.493,7.568,42.088,C3,7.5549,4.7962,5.5782,5.12556,12643,28.58
46.71,-114.32,2017-08-08 03:46:00,NOAA,AVHRR,94.34299999999999,196.24099999999999,507.041,10.39,46.771,C3,11.5434,4.584890000000001,5.58539,4.13771,19342,28.58
