lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
67.03,-128,2017-08-07 00:10:00,NOAA,AVHRR,82.809,31.862,312.861,9.384,7.57,C1,0.0178667,0.382871,0.382871,2.93683,2,26.62
63.49,-138.31,2017-08-07 00:10:00,NOAA,AVHRR,88.049,48.66,430.701,10.186,17.752,C2,6.13806,2.91087,3.46287,3.68506,6377,33.28
66.99,-127.73,2017-08-07 00:10:00,NOAA,AVHRR,82.603,31.897,313.414,9.183,7.332,C1,0.0153758,0.356838,0.356838,2.94051,2,26.62
46.42,-113.56,2017-08-07 01:34:00,NOAA,AVHRR,93.915,148.109,405.21,6.997,38.502,C3,6.69734,4.15835,4.81385,3.52884,9672,28.58
50.95,-115.97,2017-08-07 01:34:00,NOAA,AVHRR,89.47,134.631,421.565,6.463,24.524,C3,1.28388,4.08956,4.08956,3.62938,1575,11.67
50.99,-115.94,2017-08-07 01:34:00,NOAA,AVHRR,89.365,132.448,417.325,6.534,24.229,D1,0.225293,1.39949,1.39949,3.60343,95,9.94
46.4,-114.51,2017-08-07 01:34:00,NOAA,AVHRR,93.892,178.722,451.067,7.002,39.67,C3,6.73626,4.42996,5.10846,3.80794,10324,28.58
50.99,-115.91,2017-08-07 01:34:00,NOAA,AVHRR,89.308,129.472,408.202,6.529,23.921,D1,0.222323,1.39327,1.39327,3.54732,93,9.94
50.94,-115.98,2017-08-07 01:34:00,NOAA,AVHRR,89.503,135.204,422.51,6.446,24.616,C3,1.29792,4.09663,4.09663,3.63516,1595,11.67
50.96,-115.96,2017-08-07 01:34:00,NOAA,AVHRR,89.443,110.979,346.394,6.477,22.851,C3,1.24777,3.63662,3.63662,3.157,1361,11.67
46.43,-113.57,2017-08-07 01:34:00,NOAA,AVHRR,93.914,130.79,341.364,6.986,36.842,C3,6.5891,3.83394,4.44344,3.12438,8783,28.58
46.43,-113.55,2017-08-07 01:34:00,NOAA,AVHRR,93.912,149.768,410.368,6.998,38.607,C3,6.69865,4.18221,4.83771,3.56067,9722,28.58
47.24,-113.4,2017-08-07 01:34:00,NOAA,AVHRR,93.396,191.186,480.883,7.356,38.776,C3,5.99771,4.53048,5.12848,3.98499,9228,28.58
51,-115.96,2017-08-07 01:34:00,NOAA,AVHRR,89.39,132.219,417.089,6.557,24.301,C3,1.25935,4.05805,4.05805,3.60198,1533,11.67
47.1,-114.81,2017-08-07 01:34:00,NOAA,AVHRR,93.454,235.347,578.661,6.749,39.024,C3,5.76351,4.76685,5.35335,4.54465,9256,28.58
46.39,-113.56,2017-08-07 01:34:00,NOAA,AVHRR,93.908,151.99,428.575,7.099,38.985,C3,6.78722,4.23771,4.90471,3.67213,9987,28.58
47.23,-113.41,2017-08-07 01:34:00,NOAA,AVHRR,93.405,179.416,440.222,7.332,38.368,C3,5.96847,4.42821,5.01471,3.74271,8979,28.58
50.94,-115.96,2017-08-07 01:34:00,NOAA,AVHRR,89.464,134.964,422.082,6.442,24.506,C2,7.01774,4.10924,4.72524,3.63254,9948,11.67
46.44,-113.56,2017-08-07 01:34:00,NOAA,AVHRR,93.911,140.026,373.264,6.987,37.759,C3,6.63767,4.01331,4.64581,3.32898,9251,28.58
50.99,-115.93,2017-08-07 01:34:00,NOAA,AVHRR,89.346,132.337,417.089,6.532,24.177,D1,0.224356,1.39929,1.39929,3.60198,94,9.94
47.1,-114.8,2017-08-07 01:34:00,NOAA,AVHRR,93.457,255.928,644.462,6.743,39.216,C3,5.79432,4.83564,5.43364,4.90579,9445,28.58
