lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
31.76,-96.02,2017-08-10 03:01:00,NOAA,AVHRR,80.503,44.768,379.755,8.913,7.084,C1,0.00529944,0.19247,0.19247,0.0,0,28.58
50.92,-121.54,2017-08-10 04:04:00,NOAA,AVHRR,94.95700000000001,258.599,796.346,6.894,45.181999999999995,C2,21.3978,4.81237,5.604369999999999,5.7011400000000005,35976,11.67
51.14,-121.0,2017-08-10 04:04:00,NOAA,AVHRR,94.99600000000001,206.597,719.541,6.42,44.341,C2,20.663,4.68549,5.47749,5.30504,33954,11.67
51.61,-122.77,2017-08-10 04:04:00,NOAA,AVHRR,93.756,142.76,743.372,7.079,39.73,D1,0.587325,1.45605,1.45605,5.4292,257,9.94
51.98,-123.42,2017-08-10 04:04:00,NOAA,AVHRR,92.495,132.985,752.063,5.874,33.78,D1,0.41750699999999996,1.44868,1.44868,5.47419,181,9.94
50.97,-121.12,2017-08-10 04:04:00,NOAA,AVHRR,94.87,206.378,732.252,6.564,44.077,O1,1.4323700000000001,0.35,0.35,0.376162,150,11.23
51.19,-121.06,2017-08-10 04:04:00,NOAA,AVHRR,95.074,214.669,734.0060000000001,6.432,44.738,D1,0.728172,1.48397,1.48397,5.38054,324,9.94
52.66,-123.4,2017-08-10 04:04:00,NOAA,AVHRR,93.44,121.286,637.737,6.535,36.847,C3,5.44541,4.27589,4.77039,4.86939,7793,11.67
51.65,-122.8,2017-08-10 04:04:00,NOAA,AVHRR,93.675,144.213,748.472,6.971,39.353,C2,16.6693,4.46696,5.24296,5.45562,26219,11.67
55.02,-102.98,2017-08-10 04:04:00,NOAA,AVHRR,92.304,56.095,356.712,9.521,27.549,M1,7.18738,2.1210400000000003,2.33304,3.22348,5031,39.92
55.01,-102.97,2017-08-10 04:04:00,NOAA,AVHRR,92.319,56.111000000000004,357.115,9.524,27.6,M1,7.20945,2.12167,2.33367,3.22606,5047,39.92
51.63,-122.79,2017-08-10 04:04:00,NOAA,AVHRR,93.699,145.918,749.541,7.026,39.552,C3,6.38354,4.56326,5.20726,5.46115,9972,11.67
50.92,-121.56,2017-08-10 04:04:00,NOAA,AVHRR,94.959,249.65400000000002,787.638,6.91,45.181999999999995,C2,21.3937,4.79691,5.5889,5.6568,35870,11.67
51.61,-122.8,2017-08-10 04:04:00,NOAA,AVHRR,93.74700000000001,131.175,728.176,7.022,39.229,D1,0.58285,1.4452399999999999,1.4452399999999999,5.35016,253,9.94
54.26,-102.1,2017-08-10 04:04:00,NOAA,AVHRR,91.14399999999999,48.105,292.318,9.947000000000001,22.909000000000002,C2,10.7606,2.71691,3.4289099999999997,2.7985700000000002,11069,42.33
55.31,-103.03,2017-08-10 04:04:00,NOAA,AVHRR,91.936,51.021,348.02099999999996,9.459,25.531999999999996,M1,6.614,2.03228,2.20828,3.16752,4382,39.92
54.93,-102.59,2017-08-10 04:04:00,NOAA,AVHRR,92.31200000000001,53.641999999999996,334.194,9.583,26.943,C2,13.4333,2.92702,3.6790199999999995,3.07764,14826,42.33
54.94,-101.89,2017-08-10 04:04:00,NOAA,AVHRR,91.83,45.958999999999996,305.155,9.592,23.971999999999998,C3,4.03383,2.00829,2.00829,2.88528,2430,42.33
51.83,-123.34,2017-08-10 04:04:00,NOAA,AVHRR,92.758,125.866,736.4910000000001,6.0329999999999995,34.528,D1,0.44504399999999994,1.4405299999999999,1.4405299999999999,5.39347,192,9.94
52.86,-124.12,2017-08-10 04:04:00,NOAA,AVHRR,93.485,123.37100000000001,597.1569999999999,6.5120000000000005,36.884,O1,4.34241,0.35,0.35,0.325453,456,11.23
52.34,-123.33,2017-08-10 04:04:00,NOAA,AVHRR,92.963,117.24,690.1110000000001,6.1739999999999995,34.856,D1,0.46770100000000003,1.4262,1.4262,5.15005,200,9.94
55.32,-103.04,2017-08-10 04:04:00,NOAA,AVHRR,91.921,50.526,345.861,9.452,25.375,C2,12.2913,2.86553,3.6095300000000003,3.15355,13310,42.33
59.93,-108.04,2017-08-10 04:13:00,NOAA,AVHRR,88.49600000000001,44.282,363.36199999999997,6.353,15.148,C1,0.230519,1.35208,1.35208,3.2660299999999998,94,42.33
60.78,-109.89,2017-08-10 04:13:00,NOAA,AVHRR,85.855,55.818000000000005,447.048,7.432,13.435,C2,3.3349,3.12046,3.45646,3.7838199999999995,3458,26.62
60.45,-110.94,2017-08-10 04:13:00,NOAA,AVHRR,87.008,60.375,459.83,7.82,16.049,C2,4.37829,3.24234,3.68234,3.8603199999999998,4837,26.62
59.88,-102.35,2017-08-10 04:13:00,NOAA,AVHRR,86.837,44.435,354.728,6.462999999999999,12.627,C1,0.0932051,1.26922,1.26922,3.21074,35,42.33
60.9,-109.87,2017-08-10 04:13:00,NOAA,AVHRR,85.469,55.093999999999994,448.171,7.41,12.794,C1,0.0529576,1.15159,1.15159,3.7905699999999998,18,26.62
60.67,-110.79,2017-08-10 04:13:00,NOAA,AVHRR,86.45,59.25899999999999,470.111,7.795,15.024000000000001,C1,0.09966,1.2422600000000001,1.2422600000000001,3.9214,37,26.62
60.67,-110.81,2017-08-10 04:13:00,NOAA,AVHRR,86.456,59.27,470.51300000000003,7.801,15.042,C1,0.10017999999999999,1.24271,1.24271,3.9237800000000003,37,26.62
60.79,-109.87,2017-08-10 04:13:00,NOAA,AVHRR,85.818,55.645,446.369,7.422000000000001,13.353,C1,0.0646158,1.1884299999999999,1.1884299999999999,3.7797400000000003,23,26.62
60.37,-111.1,2017-08-10 04:13:00,NOAA,AVHRR,87.16799999999999,61.261,463.68300000000005,7.903,16.498,C2,4.56088,3.26627,3.7222699999999995,3.88326,5093,26.62
60.74,-109.94,2017-08-10 04:13:00,NOAA,AVHRR,85.992,56.028999999999996,446.23,7.457999999999999,13.67,C2,3.4349800000000004,3.12492,3.47692,3.7789,3583,26.62
60.7,-109.74,2017-08-10 04:13:00,NOAA,AVHRR,86.074,55.73,442.344,7.382999999999999,13.705,D1,0.11477000000000001,1.1819899999999999,1.1819899999999999,3.7555099999999997,41,20.72
60.92,-109.83,2017-08-10 04:13:00,NOAA,AVHRR,85.391,54.78,446.83099999999996,7.393,12.638,C1,0.050494800000000006,1.14244,1.14244,3.78252,17,26.62
61.92,-111.26,2017-08-10 04:13:00,NOAA,AVHRR,83.62299999999999,55.69,513.774,8.173,11.046,C1,0.0223642,0.533853,0.533853,4.17664,4,26.62
60.34,-111.07,2017-08-10 04:13:00,NOAA,AVHRR,87.223,61.31100000000001,460.81300000000005,7.92,16.597,C1,0.157632,1.29265,1.29265,3.8661800000000004,61,26.62
60.87,-111.3,2017-08-10 04:13:00,NOAA,AVHRR,86.12,58.218999999999994,483.667,7.899,14.5,O1,0.184789,0.35,0.35,0.28021599999999997,19,28.42
61.45,-110.91,2017-08-10 04:13:00,NOAA,AVHRR,84.596,56.699,495.526,7.857,12.16,C1,0.0357591,1.01843,1.01843,4.0707699999999996,11,26.62
61.45,-110.93,2017-08-10 04:13:00,NOAA,AVHRR,84.61,56.708,495.98199999999997,7.8660000000000005,12.185,C1,0.03610580000000001,1.02135,1.02135,4.07343,11,26.62
60.77,-109.88,2017-08-10 04:13:00,NOAA,AVHRR,85.884,55.806000000000004,446.409,7.428999999999999,13.470999999999998,C2,3.3525099999999997,3.11953,3.4635300000000004,3.77998,3483,26.62
60.42,-111.26,2017-08-10 04:13:00,NOAA,AVHRR,87.064,61.363,472.73800000000006,7.898,16.365,C1,0.143677,1.2833700000000001,1.2833700000000001,3.93695,55,26.62
60.62,-112.14,2017-08-10 04:13:00,NOAA,AVHRR,87.014,58.74100000000001,495.54900000000004,8.073,16.187,M1,2.34469,2.25852,2.25852,4.0709,1589,25.15
60.36,-111.15,2017-08-10 04:13:00,NOAA,AVHRR,87.186,60.885,461.415,7.917000000000001,16.486,C1,0.154317,1.29054,1.29054,3.86976,60,26.62
60.69,-109.66,2017-08-10 04:13:00,NOAA,AVHRR,86.096,55.733000000000004,443.31300000000005,7.351,13.725,C1,0.07449810000000001,1.21385,1.21385,3.76135,27,26.62
60.36,-111.13,2017-08-10 04:13:00,NOAA,AVHRR,87.186,60.839,460.524,7.914,16.474,C1,0.154167,1.29054,1.29054,3.86445,60,26.62
61.93,-111.19,2017-08-10 04:35:00,NASA,MODIS,83.536,55.81399999999999,513.123,8.131,10.932,C1,0.0211352,0.5113840000000001,0.5113840000000001,4.17288,3,26.62
60.7,-109.66,2017-08-10 04:35:00,NASA,MODIS,86.06299999999999,55.70399999999999,443.657,7.35,13.672,M1,1.8228900000000001,2.1813700000000003,2.1813700000000003,3.7634199999999995,1193,25.15
52.89,-123.78,2017-08-10 04:45:00,NOAA,AVHRR,93.44200000000001,124.758,598.994,6.803999999999999,37.165,C3,5.62785,4.27219,4.80119,4.6574599999999995,8106,11.67
52.61,-121.33,2017-08-10 04:45:00,NOAA,AVHRR,94.715,139.497,445.874,6.4639999999999995,40.76,C2,18.9743,4.17376,4.9657599999999995,3.77676,28267,11.67
52.74,-123.89,2017-08-10 04:45:00,NOAA,AVHRR,93.39299999999999,122.84200000000001,600.405,6.492000000000001,36.543,C3,5.32751,4.25445,4.73745,4.66525,7572,11.67
52.42,-125.68,2017-08-10 04:45:00,NOAA,AVHRR,90.64299999999999,124.14299999999999,641.33,5.55,27.461,C2,8.426739999999999,4.27,4.934,4.88885,12473,11.67
52.83,-124.07,2017-08-10 04:45:00,NOAA,AVHRR,93.463,123.931,602.523,6.505,36.853,D1,0.529428,1.42498,1.42498,4.6769300000000005,226,9.94
51.66,-122.88,2017-08-10 04:45:00,NOAA,AVHRR,93.56200000000001,136.965,736.102,6.84,38.556999999999995,C3,5.94522,4.49311,5.07961,5.39144,9060,11.67
