lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
30.47,-82.12,2017-05-09 00:28:00,NOAA,AVHRR,92.932,51.856,259.574,10.321,27.876,D1,0.599336,1.07696,1.07696,2.5722,194,21.44
33.73,-89.39,2017-05-09 00:28:00,NOAA,AVHRR,90.034,29.543,217.922,9.407,15.917,M1,4.14684,1.43633,1.43633,2.27181,1787,32.4
30.49,-82.1,2017-05-09 00:28:00,NOAA,AVHRR,92.921,50.991,256.699,10.327,27.645,D1,0.597668,1.06895,1.06895,2.55194,192,21.44
30.48,-82.08,2017-05-09 00:28:00,NOAA,AVHRR,92.914,50.834,256.198,10.318,27.58,D1,0.596316,1.0675,1.0675,2.5484,191,21.44
30.48,-82.1,2017-05-09 00:28:00,NOAA,AVHRR,92.922,51.481,259.881,10.321,27.787,D1,0.597983,1.07458,1.07458,2.57436,193,21.44
30.5,-82.1,2017-05-09 00:28:00,NOAA,AVHRR,92.919,50.886,257.1,10.332,27.632,D1,0.597553,1.06849,1.06849,2.55477,192,21.44
30.52,-82.17,2017-05-09 00:28:00,NOAA,AVHRR,92.942,50.668,250.389,10.355,27.553,C3,6.43491,2.02743,2.07343,2.50724,4003,28.58
30.73,-83.8,2017-05-09 00:28:00,NOAA,AVHRR,93.161,49.401,156.345,10.19,25.338,C1,4.53156,1.45292,1.86542,1.79465,2536,28.58
30.47,-82.08,2017-05-09 00:28:00,NOAA,AVHRR,92.916,51.292,259.122,10.312,27.715,C1,4.23178,1.4501,1.8326,2.56902,2327,28.58
30.47,-82.1,2017-05-09 00:28:00,NOAA,AVHRR,92.924,51.836,261.782,10.316,27.885,D1,0.598293,1.07833,1.07833,2.58771,194,21.44
30.53,-82.11,2017-05-09 00:28:00,NOAA,AVHRR,92.918,50.161,253.359,10.35,27.447,D1,0.597591,1.06071,1.06071,2.52832,190,21.44
30.48,-82.12,2017-05-09 00:28:00,NOAA,AVHRR,92.93,51.633,258.951,10.326,27.824,D1,0.599173,1.075,1.075,2.56781,193,21.44
30.48,-82.06,2017-05-09 00:28:00,NOAA,AVHRR,92.906,50.514,255.577,10.314,27.486,D1,0.595014,1.06479,1.06479,2.54401,190,21.44
30.5,-82.16,2017-05-09 00:28:00,NOAA,AVHRR,92.942,51.161,253.008,10.344,27.68,C1,4.29742,1.45041,1.84041,2.52583,2373,28.58
30.49,-82.18,2017-05-09 00:28:00,NOAA,AVHRR,92.951,51.583,253.194,10.344,27.783,C1,4.31623,1.45051,1.84051,2.52715,2383,28.58
30.74,-83.8,2017-05-09 00:28:00,NOAA,AVHRR,93.154,49.278,156.455,10.183,25.301,C1,4.51258,1.45284,1.85784,1.79554,2515,28.58
30.47,-82.12,2017-05-09 01:45:00,NOAA,AVHRR,92.932,51.856,259.574,10.321,27.876,D1,0.599336,1.07696,1.07696,2.5722,194,21.44
30.48,-82.09,2017-05-09 01:45:00,NOAA,AVHRR,92.918,50.952,256.121,10.319,27.612,D1,0.59692,1.06828,1.06828,2.54786,191,21.44
30.49,-82.1,2017-05-09 01:45:00,NOAA,AVHRR,92.921,50.991,256.699,10.327,27.645,D1,0.597668,1.06895,1.06895,2.55194,192,21.44
30.48,-82.12,2017-05-09 01:45:00,NOAA,AVHRR,92.93,51.633,258.951,10.326,27.824,D1,0.599173,1.075,1.075,2.56781,193,21.44
38.41,-75.63,2017-05-09 01:45:00,NOAA,AVHRR,89.473,13.214,48.025,14.558,10.719,low_veg,2.15414,0.1,0.1,0.776285,65,9.31
26.56,-78.67,2017-05-09 01:45:00,NOAA,AVHRR,90.525,25.733,185.591,11.819,17.047,low_veg,2.19426,0.1,0.1,2.027,66,9.31
26.55,-78.68,2017-05-09 01:45:00,NOAA,AVHRR,90.529,25.8,185.897,11.819,17.076,low_veg,2.19618,0.1,0.1,2.02938,66,9.31
30.49,-82.12,2017-05-09 01:45:00,NOAA,AVHRR,92.929,51.219,256.536,10.331,27.708,D1,0.59887,1.07044,1.07044,2.55079,192,21.44
38.41,-75.64,2017-05-09 01:45:00,NOAA,AVHRR,89.491,13.216,48.2,14.56,10.75,low_veg,2.16254,0.1,0.1,0.778292,65,9.31
38.4,-75.65,2017-05-09 01:45:00,NOAA,AVHRR,89.492,13.251,48.433,14.544,10.763,low_veg,2.16025,0.1,0.1,0.780961,65,9.31
38.41,-75.65,2017-05-09 01:45:00,NOAA,AVHRR,89.508,13.223,48.368,14.562,10.782,low_veg,2.17056,0.1,0.1,0.780217,65,9.31
42.42,-121.17,2017-05-09 02:14:00,NOAA,AVHRR,92.096,30.054,177.571,10.262,19.961,C3,4.25096,1.05734,1.05734,1.96442,1348,28.58
37.5,-120.73,2017-05-09 02:14:00,NOAA,AVHRR,88.325,66.435,283.427,13.568,21.802,low_veg,1.56492,0.1,0.1,2.73787,47,9.31
42.41,-121.18,2017-05-09 02:14:00,NOAA,AVHRR,92.091,24.342,151.232,10.263,18.064,C3,3.9575,0.771181,0.771181,1.75277,916,28.58
30.94,-88.02,2017-05-09 02:43:00,NOAA,AVHRR,91.071,21.87,46.537,7.318,11.34,C1,0.92248,1.42222,1.42222,0.75913,394,28.58
30.48,-82.08,2017-05-09 02:43:00,NOAA,AVHRR,92.914,50.834,256.198,10.318,27.58,D1,0.596316,1.0675,1.0675,2.5484,191,21.44
30.48,-82.09,2017-05-09 02:43:00,NOAA,AVHRR,92.918,50.952,256.121,10.319,27.612,D1,0.59692,1.06828,1.06828,2.54786,191,21.44
31.15,-87.99,2017-05-09 02:43:00,NOAA,AVHRR,91.035,21.323,48,7.398,11.189,low_veg,1.75764,0.1,0.1,0.775998,53,9.31
30.51,-82.12,2017-05-09 02:43:00,NOAA,AVHRR,92.925,50.917,256.569,10.341,27.654,M1,8.2862,1.92331,2.16331,2.55102,5378,32.4
30.54,-82.18,2017-05-09 02:43:00,NOAA,AVHRR,92.941,50.198,248.024,10.365,27.43,M1,8.29446,1.89895,2.13895,2.4904,5322,32.4
30.52,-82.19,2017-05-09 02:43:00,NOAA,AVHRR,92.949,50.842,249.948,10.359,27.598,D1,0.601795,1.06311,1.06311,2.5041,192,21.44
30.53,-82.19,2017-05-09 02:43:00,NOAA,AVHRR,92.947,50.554,248.811,10.363,27.525,M1,8.31095,1.90569,2.14569,2.49601,5350,32.4
30.94,-88.01,2017-05-09 02:43:00,NOAA,AVHRR,91.074,21.908,46.849,7.31,11.351,M1,3.45225,0.816764,0.816764,0.76274,846,32.4
30.53,-82.17,2017-05-09 02:43:00,NOAA,AVHRR,92.94,50.384,249.253,10.359,27.48,C3,6.42787,2.01436,2.04886,2.49916,3951,28.58
30.53,-82.16,2017-05-09 02:43:00,NOAA,AVHRR,92.936,50.312,249.599,10.357,27.46,C1,4.28989,1.45033,1.84033,2.50162,2368,28.58
30.54,-82.12,2017-05-09 02:43:00,NOAA,AVHRR,92.92,50.103,253.163,10.357,27.445,C1,4.26157,1.45014,1.84014,2.52693,2353,28.58
30.52,-82.13,2017-05-09 02:43:00,NOAA,AVHRR,92.927,50.722,255.093,10.348,27.604,C1,4.27228,1.45023,1.84023,2.54059,2359,28.58
30.53,-82.12,2017-05-09 02:43:00,NOAA,AVHRR,92.922,50.373,254.298,10.351,27.515,C1,4.26322,1.45017,1.84017,2.53497,2354,28.58
30.47,-82.08,2017-05-09 02:43:00,NOAA,AVHRR,92.916,51.292,259.122,10.312,27.715,C1,4.23178,1.4501,1.8326,2.56902,2327,28.58
30.5,-82.1,2017-05-09 02:43:00,NOAA,AVHRR,92.919,50.886,257.1,10.332,27.632,D1,0.597553,1.06849,1.06849,2.55477,192,21.44
30.54,-82.19,2017-05-09 02:43:00,NOAA,AVHRR,92.945,50.294,247.931,10.367,27.46,M1,8.30376,1.90028,2.14028,2.48974,5332,32.4
33.73,-89.39,2017-05-09 02:43:00,NOAA,AVHRR,90.034,29.543,217.922,9.407,15.917,M1,4.14684,1.43633,1.43633,2.27181,1787,32.4
33.24,-87.5,2017-05-09 02:43:00,NOAA,AVHRR,90.973,20.98,130.606,11.223,15.423,C1,1.83928,1.42035,1.53285,1.57948,846,28.58
30.74,-83.81,2017-05-09 02:43:00,NOAA,AVHRR,93.154,49.033,154.236,10.177,25.182,C1,4.50509,1.45284,1.85784,1.77742,2511,28.58
30.73,-83.8,2017-05-09 02:43:00,NOAA,AVHRR,93.161,49.401,156.345,10.19,25.338,C1,4.53156,1.45292,1.86542,1.79465,2536,28.58
30.54,-82.11,2017-05-09 02:43:00,NOAA,AVHRR,92.917,49.948,252.736,10.356,27.401,C3,6.37591,2.01147,2.02297,2.5239,3869,28.58
30.48,-82.1,2017-05-09 02:43:00,NOAA,AVHRR,92.922,51.481,259.881,10.321,27.787,D1,0.597983,1.07458,1.07458,2.57436,193,21.44
30.49,-82.1,2017-05-09 02:43:00,NOAA,AVHRR,92.921,50.991,256.699,10.327,27.645,D1,0.597668,1.06895,1.06895,2.55194,192,21.44
30.49,-82.11,2017-05-09 02:43:00,NOAA,AVHRR,92.925,51.297,258.41,10.329,27.743,D1,0.598485,1.07228,1.07228,2.564,193,21.44
31.16,-87.98,2017-05-09 02:43:00,NOAA,AVHRR,91.035,21.343,47.975,7.397,11.194,low_veg,1.75764,0.1,0.1,0.775711,53,9.31
30.5,-82.11,2017-05-09 02:43:00,NOAA,AVHRR,92.923,51.08,257.786,10.334,27.693,D1,0.598322,1.07033,1.07033,2.55961,192,21.44
30.54,-82.1,2017-05-09 02:43:00,NOAA,AVHRR,92.913,49.684,251.284,10.355,27.314,M1,8.2445,1.89601,2.13201,2.5136,5273,32.4
30.52,-82.17,2017-05-09 02:43:00,NOAA,AVHRR,92.942,50.668,250.389,10.355,27.553,C3,6.43491,2.02743,2.07343,2.50724,4003,28.58
30.53,-82.11,2017-05-09 02:43:00,NOAA,AVHRR,92.918,50.161,253.359,10.35,27.447,D1,0.597591,1.06071,1.06071,2.52832,190,21.44
30.51,-82.17,2017-05-09 02:43:00,NOAA,AVHRR,92.943,50.953,251.526,10.35,27.624,D1,0.600879,1.06503,1.06503,2.51532,192,21.44
30.51,-82.16,2017-05-09 02:43:00,NOAA,AVHRR,92.94,50.876,251.872,10.348,27.606,C1,4.29451,1.45038,1.84038,2.51777,2371,28.58
30.5,-82.17,2017-05-09 02:43:00,NOAA,AVHRR,92.945,51.24,252.662,10.346,27.698,M1,8.31713,1.92224,2.16224,2.52338,5395,32.4
30.47,-82.09,2017-05-09 02:43:00,NOAA,AVHRR,92.92,51.66,261.349,10.314,27.834,C1,4.2426,1.45014,1.84014,2.58468,2342,28.58
30.54,-82.13,2017-05-09 02:43:00,NOAA,AVHRR,92.924,50.093,252.055,10.358,27.434,C1,4.26828,1.45019,1.84019,2.51907,2356,28.58
30.54,-82.16,2017-05-09 02:43:00,NOAA,AVHRR,92.934,50.032,248.463,10.362,27.388,D1,0.599598,1.05627,1.05627,2.49353,190,21.44
30.54,-82.17,2017-05-09 02:43:00,NOAA,AVHRR,92.938,50.129,248.372,10.364,27.416,D1,0.60019,1.0569,1.0569,2.49288,190,21.44
38.41,-75.63,2017-05-09 02:43:00,NOAA,AVHRR,89.473,13.214,48.025,14.558,10.719,low_veg,2.15414,0.1,0.1,0.776285,65,9.31
30.529,-82.179,2017-05-09 03:14:00,USFS,MODIS,92.943,50.477,249.053,10.36,27.502,M1,8.30225,1.90489,2.14489,2.49773,5342,32.4
30.494,-82.114,2017-05-09 03:14:00,USFS,MODIS,92.926,51.277,258.332,10.332,27.744,D1,0.5987,1.07209,1.07209,2.56345,193,21.44
30.529,-82.174,2017-05-09 03:14:00,USFS,MODIS,92.941,50.441,249.227,10.359,27.492,C3,6.4302,2.01614,2.05064,2.49897,3956,28.58
30.541,-82.109,2017-05-09 03:14:00,USFS,MODIS,92.916,49.915,252.657,10.356,27.39,C3,6.37246,2.0101,2.0216,2.52334,3865,28.58
30.496,-82.165,2017-05-09 03:14:00,USFS,MODIS,92.944,51.315,253.289,10.343,27.718,C1,4.30181,1.45043,1.84043,2.52782,2375,28.58
30.538,-82.125,2017-05-09 03:14:00,USFS,MODIS,92.922,50.193,253.22,10.356,27.466,C1,4.26439,1.45017,1.84017,2.52733,2354,28.58
30.472,-82.108,2017-05-09 03:14:00,USFS,MODIS,92.927,51.828,261.031,10.319,27.883,D1,0.598786,1.07777,1.07777,2.58244,194,21.44
30.475,-82.092,2017-05-09 03:14:00,USFS,MODIS,92.92,51.406,259.436,10.317,27.757,D1,0.597529,1.07375,1.07375,2.57123,192,21.44
30.483,-82.111,2017-05-09 03:14:00,USFS,MODIS,92.926,51.552,259.682,10.325,27.811,D1,0.598628,1.07494,1.07494,2.57296,193,21.44
30.527,-82.122,2017-05-09 03:14:00,USFS,MODIS,92.923,50.469,254.571,10.35,27.54,C1,4.26495,1.45018,1.84018,2.5369,2354,28.58
30.505,-82.117,2017-05-09 03:14:00,USFS,MODIS,92.925,51.002,256.982,10.338,27.673,C1,4.26339,1.4502,1.8402,2.55394,2354,28.58
30.541,-82.114,2017-05-09 03:14:00,USFS,MODIS,92.918,49.951,252.487,10.357,27.4,C3,6.37823,2.01073,2.02223,2.52214,3869,28.58
30.538,-82.13,2017-05-09 03:14:00,USFS,MODIS,92.924,50.147,252.282,10.357,27.448,C1,4.26862,1.45019,1.84019,2.52068,2357,28.58
38.403,-75.646,2017-05-09 03:14:00,USFS,MODIS,89.489,13.243,48.339,14.548,10.755,low_veg,2.15948,0.1,0.1,0.779885,65,9.31
30.526,-82.19,2017-05-09 03:15:00,USFS,MODIS,92.947,50.669,249.266,10.361,27.551,M1,8.31184,1.90817,2.14817,2.49925,5357,32.4
49.64,-103.36,2017-05-09 03:29:00,NOAA,AVHRR,89.177,28.6,242.302,23.641,24.519,low_veg,1.16192,0.1,0.1,2.44947,35,0.89
50.32,-104.88,2017-05-09 03:29:00,NOAA,AVHRR,90.133,28.511,206.215,23.25,26.072,low_veg,2.3097,0.1,0.1,2.18447,69,0.89
49.64,-103.35,2017-05-09 03:29:00,NOAA,AVHRR,89.094,28.613,241.27,23.657,24.323,low_veg,1.29723,0.1,0.1,2.44206,39,0.89
50.32,-104.89,2017-05-09 03:29:00,NOAA,AVHRR,90.122,28.63,206.27,23.22,26.057,low_veg,2.12477,0.1,0.1,2.18489,64,0.89
56.53,-118.98,2017-05-09 04:37:00,NOAA,AVHRR,86.16,23.28,82.318,8.094,7.289,low_veg,0.454522,0.1,0.1,1.1381,14,3.13
26.012,-106.993,2017-05-09 04:55:00,USFS,MODIS,82.653,23.239,0,22.383,0.955,C2,1.17201e-07,0,0,0,0,28.58
50.32,-104.897,2017-05-09 05:00:00,NASA,MODIS,90.114,28.715,206.058,23.199,26.042,low_veg,2.11954,0.1,0.1,2.18329,64,0.89
50.326,-104.889,2017-05-09 05:00:00,NASA,MODIS,90.101,28.635,206.839,23.234,26.025,low_veg,2.2958,0.1,0.1,2.18916,69,0.89
47.573,-100.49,2017-05-09 05:00:00,NASA,MODIS,87.431,29.822,215.868,18.714,17.144,low_veg,1.90466,0.1,0.1,2.25659,57,9.31
49.638,-103.365,2017-05-09 05:00:00,NASA,MODIS,89.2,28.636,242.631,23.627,24.58,low_veg,1.32153,0.1,0.1,2.45183,40,0.89
38.407,-75.653,2017-05-09 06:13:00,USFS,VIIRS,89.508,13.23,48.442,14.557,10.785,low_veg,2.16979,0.1,0.1,0.781064,65,9.31
30.509,-82.169,2017-05-09 06:13:00,USFS,VIIRS,92.943,50.974,251.674,10.35,27.63,D1,0.600901,1.06528,1.06528,2.51637,192,21.44
30.479,-82.094,2017-05-09 06:13:00,USFS,VIIRS,92.92,51.454,260.194,10.32,27.781,D1,0.597677,1.0746,1.0746,2.57656,193,21.44
30.479,-82.083,2017-05-09 06:13:00,USFS,VIIRS,92.916,50.888,256.211,10.318,27.595,D1,0.596579,1.06788,1.06788,2.54849,191,21.44
37.496,-120.714,2017-05-09 06:35:00,USFS,MODIS,88.292,66.614,286.298,13.574,21.797,low_veg,1.55468,0.1,0.1,2.75753,47,9.31
37.497,-120.721,2017-05-09 06:35:00,USFS,MODIS,88.306,66.569,285.408,13.573,21.809,low_veg,1.55927,0.1,0.1,2.75144,47,9.31
30.484,-82.066,2017-05-09 07:25:00,USFS,MODIS,92.908,50.41,254.415,10.318,27.455,D1,0.595268,1.06323,1.06323,2.5358,190,21.44
30.486,-82.078,2017-05-09 07:25:00,USFS,MODIS,92.913,50.739,256.351,10.321,27.565,D1,0.596269,1.06693,1.06693,2.54948,191,21.44
30.501,-82.166,2017-05-09 07:25:00,USFS,MODIS,92.944,51.18,252.687,10.346,27.686,C1,4.30341,1.45043,1.84043,2.52356,2376,28.58
30.532,-82.172,2017-05-09 07:28:00,USFS,MODIS,92.94,50.342,248.956,10.36,27.467,D1,0.600433,1.05885,1.05885,2.49704,191,21.44
30.729,-83.805,2017-05-09 07:28:00,USFS,MODIS,93.162,49.234,154.847,10.187,25.26,C1,4.52898,1.45293,1.86543,1.78242,2535,28.58
