lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
50.75,-89.62,2017-08-06 00:01:00,NOAA,AVHRR,87.401,31.478,242.256,8.337,11.844,C2,4.1338,2.10508,2.48108,2.44914,3077,46.35
51.4,-89.28,2017-08-06 00:01:00,NOAA,AVHRR,87.771,34.373,264.716,7.182,12.401,C2,4.22951,2.24725,2.63925,2.60827,3349,46.35
50.75,-89.63,2017-08-06 00:01:00,NOAA,AVHRR,87.401,31.543,242.718,8.342,11.86,C2,4.1381,2.10827,2.48427,2.45246,3084,46.35
33.02,-79.88,2017-08-06 00:01:00,NOAA,AVHRR,83.691,16.371,151.476,11.755,6.104,M1,1.18189,0.94046,0.94046,1.75478,333,32.4
33.02,-79.89,2017-08-06 00:01:00,NOAA,AVHRR,83.701,16.274,149.442,11.742,6.078,bog,0.098867,0.1,0.1,1.73802,3,26.94
51.39,-89.26,2017-08-06 00:01:00,NOAA,AVHRR,87.753,34.21,263.93,7.186,12.346,C2,4.20884,2.24015,2.63215,2.60277,3323,46.35
37.24,-76.72,2017-08-06 00:01:00,NOAA,AVHRR,90.118,43.707,126.861,6.814,15.038,low_veg,0.275968,0.1,0.1,1.54718,8,9.31
52.7,-92.16,2017-08-06 00:01:00,NOAA,AVHRR,88.189,43.519,285.686,8.792,15.436,C2,5.46382,2.57809,3.08209,2.75334,5052,46.35
48.91,-117.04,2017-08-06 01:46:00,NOAA,AVHRR,95.122,159.064,442.718,6.868,43.468,C3,9.73749,4.31125,5.21976,3.75776,15248,28.58
46.34,-114.49,2017-08-06 01:46:00,NOAA,AVHRR,92.997,116.14,344.254,6.536,32.67,C3,4.56847,3.69193,3.95643,3.14314,5422,28.58
47.1,-114.84,2017-08-06 01:46:00,NOAA,AVHRR,92.483,200.554,474.461,5.893,34.174,C3,3.68226,4.5911,4.8096,3.94713,5313,28.58
47.1,-114.82,2017-08-06 01:46:00,NOAA,AVHRR,92.483,235.716,561.284,5.902,34.715,C3,3.72603,4.76786,5.02086,4.44732,5612,28.58
50.64,-117.8,2017-08-06 01:46:00,NOAA,AVHRR,95.574,207.027,539.253,7.868,48.322,C5,5.01399,4.48437,4.48437,4.32267,6745,11.67
45.51,-115.95,2017-08-06 01:46:00,NOAA,AVHRR,95.149,187.289,482.221,6.483,43.995,O1,3.75193,0.35,0.35,0.279621,394,30.21
