lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
26.08,-107.67,2017-05-12 01:39:00,NOAA,AVHRR,91.832,79.212,173.746,15.369,31.878,D1,0.695031,1.14726,1.14726,1.93428,239,21.44
26.89,-101.45,2017-05-12 01:39:00,NOAA,AVHRR,89.842,136.207,132.87,18.564,37.148,D1,0.601433,1.3729,1.3729,1.59887,248,21.44
25.27,-107.54,2017-05-12 01:39:00,NOAA,AVHRR,91.828,113.33,248.996,15.581,37.938,D1,0.718753,1.31092,1.31092,2.49733,283,21.44
26.08,-107.66,2017-05-12 01:39:00,NOAA,AVHRR,91.832,68.475,145.077,15.37,29.651,D1,0.687977,1.07055,1.07055,1.70182,221,21.44
26.58,-106.04,2017-05-12 01:39:00,NOAA,AVHRR,90.267,14.683,15.351,16.057,11.958,C2,5.51469,0.757516,1.01352,0.345411,1677,28.58
26.58,-106.06,2017-05-12 01:39:00,NOAA,AVHRR,90.265,16.095,18.996,16.054,12.521,C2,6.10146,0.828105,1.1881,0.401818,2175,28.58
26.17,-109.05,2017-05-12 01:39:00,NOAA,AVHRR,92.044,120.293,195.639,14.946,38.77,low_veg,3.72358,0.1,0.1,2.10432,112,9.31
25.98,-107.57,2017-05-12 01:39:00,NOAA,AVHRR,91.828,67.432,141.084,15.406,29.448,D1,0.688356,1.06221,1.06221,1.66843,219,21.44
26.08,-107.65,2017-05-12 01:39:00,NOAA,AVHRR,91.832,68.263,144.641,15.371,29.607,D1,0.687895,1.06888,1.06888,1.69819,221,21.44
28.99,-106.88,2017-05-12 01:39:00,NOAA,AVHRR,92.002,29.119,0,14.214,4.154,M1,0.000150649,0,0,0,0,32.4
27.19,-107.83,2017-05-12 01:39:00,NOAA,AVHRR,91.558,12.428,0,14.683,3.979,D1,0.00344669,0,0,0,0,21.44
25.5,-106.83,2017-05-12 01:39:00,NOAA,AVHRR,91.068,13.381,0,16.035,3.973,C2,3.69784e-07,0,0,0,0,28.58
25.5,-106.82,2017-05-12 01:39:00,NOAA,AVHRR,91.068,15.623,0,16.036,3.973,C2,3.69784e-07,0,0,0,0,28.58
25.68,-106.83,2017-05-12 01:39:00,NOAA,AVHRR,91.068,26.069,0,15.985,3.961,C2,3.68564e-07,0,0,0,0,28.58
28.96,-107,2017-05-12 01:39:00,NOAA,AVHRR,91.993,30.439,0,14.22,4.15,M1,0.000150469,0,0,0,0,32.4
28.98,-106.9,2017-05-12 01:39:00,NOAA,AVHRR,91.997,33.29,0,14.218,4.152,M1,0.000150551,0,0,0,0,32.4
25.38,-107.06,2017-05-12 01:39:00,NOAA,AVHRR,91.191,61.157,0,16.079,4.06,M1,0.000146666,0,0,0,0,32.4
25.38,-107.05,2017-05-12 01:39:00,NOAA,AVHRR,91.19,44.445,0,16.08,4.06,M1,0.000146649,0,0,0,0,32.4
28.99,-106.89,2017-05-12 01:39:00,NOAA,AVHRR,92.002,30.043,0,14.213,4.154,M1,0.000150649,0,0,0,0,32.4
26.07,-107.66,2017-05-12 01:39:00,NOAA,AVHRR,91.831,60.425,123.245,15.373,27.859,M1,9.21346,1.78179,2.04179,1.51574,5644,32.4
26.07,-107.67,2017-05-12 01:39:00,NOAA,AVHRR,91.831,63.749,132.028,15.372,28.613,M1,9.30035,1.84413,2.11213,1.59167,5893,32.4
26.59,-106.05,2017-05-12 01:39:00,NOAA,AVHRR,90.269,19.944,29.376,16.052,13.954,C2,7.47725,1.01291,1.53291,0.547588,3439,28.58
26.59,-106.04,2017-05-12 01:39:00,NOAA,AVHRR,90.269,19.786,29.002,16.053,13.9,C2,7.42814,1.00557,1.52557,0.542629,3400,28.58
26.08,-107.68,2017-05-12 01:39:00,NOAA,AVHRR,91.832,69.162,146.658,15.369,29.798,D1,0.68849,1.07591,1.07591,1.71497,222,21.44
26.59,-106.06,2017-05-12 01:39:00,NOAA,AVHRR,90.268,14.997,16.248,16.05,12.086,C2,5.65002,0.773489,1.05349,0.359623,1786,28.58
28.11,-107.87,2017-05-12 01:39:00,NOAA,AVHRR,91.933,0,0,14.322,4.135,C2,3.8733e-07,0,0,0,0,28.58
25.98,-107.58,2017-05-12 01:39:00,NOAA,AVHRR,91.829,62.883,128.75,15.405,28.443,D1,0.684645,1.02412,1.02412,1.56351,210,21.44
25.99,-107.58,2017-05-12 01:39:00,NOAA,AVHRR,91.829,54.325,106.029,15.402,26.441,M1,9.04329,1.65962,1.90362,1.36217,5164,32.4
