lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
29.41,-81.54,2017-05-12 03:21:00,NOAA,AVHRR,91.225,72.217,390.022,16.978,35.374,C1,5.80974,1.42508,1.92008,3.43441,3347,28.58
29.4,-81.55,2017-05-12 03:25:00,NOAA,AVHRR,91.237,72.234,390.43,16.994,35.443,D1,0.701606,1.25395,1.25395,3.43696,264,21.44
28.96,-107,2017-05-12 03:25:00,NOAA,AVHRR,91.993,30.439,0,14.22,4.15,M1,0.000150469,0,0,0,0,32.4
25.85,-106.39,2017-05-12 05:25:00,USFS,MODIS,90.785,18.915,0,16.159,3.824,C2,3.53986e-07,0,0,0,0,28.58
26.07,-107.65,2017-05-12 14:04:00,NOAA,AVHRR,91.831,45.981,84.63,15.374,24.313,D1,0.663307,0.851122,0.851122,1.1607,169,21.44
25.98,-107.58,2017-05-12 14:04:00,NOAA,AVHRR,91.829,62.883,128.75,15.405,28.443,D1,0.684645,1.02412,1.02412,1.56351,210,21.44
46.6,-100.1,2017-05-12 14:04:00,NOAA,AVHRR,92.837,45.775,242.208,20.654,37.151,low_veg,6.24195,0.1,0.1,2.4488,187,9.31
26.07,-107.67,2017-05-12 14:04:00,NOAA,AVHRR,91.831,63.749,132.028,15.372,28.613,M1,9.30035,1.84413,2.11213,1.59167,5893,32.4
26.07,-107.66,2017-05-12 14:04:00,NOAA,AVHRR,91.831,60.425,123.245,15.373,27.859,M1,9.21346,1.78179,2.04179,1.51574,5644,32.4
25.85,-106.38,2017-05-12 17:30:00,USFS,MODIS,90.786,5.576,0,16.161,3.826,C2,3.54112e-07,0,0,0,0,28.58
49.277,-96.629,2017-05-12 20:01:00,USFS,VIIRS,87.679,35.922,116.261,14.087,14.064,low_veg,0.200504,0.1,0.1,1.45424,6,1.09
29.41,-81.53,2017-05-12 20:14:00,NOAA,AVHRR,91.375,72.188,390.531,16.979,35.879,C1,6.18954,1.42776,1.94526,3.43759,3612,28.58
30.7,-82.29,2017-05-12 20:14:00,NOAA,AVHRR,91.6,58.527,250.178,15.888,30.674,M1,9.44225,2.01935,2.30335,2.50574,6525,32.4
30.7,-82.28,2017-05-12 20:14:00,NOAA,AVHRR,91.603,58.492,250.53,15.878,30.675,M1,9.44144,2.01951,2.30351,2.50824,6525,32.4
29.41,-81.54,2017-05-12 20:14:00,NOAA,AVHRR,91.225,72.217,390.022,16.978,35.374,C1,5.80974,1.42508,1.92008,3.43441,3347,28.58
30.69,-82.29,2017-05-12 20:19:00,NOAA,AVHRR,91.606,58.821,251.306,15.902,30.779,M1,9.46687,2.02502,2.30902,2.51376,6558,32.4
25.499,-106.821,2017-05-12 20:43:00,USFS,MODIS,91.068,15.634,0,16.036,3.973,C2,3.69784e-07,0,0,0,0,28.58
37.603,-118.659,2017-05-12 21:43:00,USFS,VIIRS,94.583,67.227,241.748,19.779,47.339,O1,39.3908,0.35,0.35,0.171259,4136,30.21
25.5,-106.82,2017-05-12 22:01:00,NOAA,AVHRR,91.068,15.623,0,16.036,3.973,C2,3.69784e-07,0,0,0,0,28.58
28.98,-106.89,2017-05-12 22:01:00,NOAA,AVHRR,91.997,31.136,0,14.219,4.152,M1,0.000150567,0,0,0,0,32.4
26.59,-106.04,2017-05-12 22:01:00,NOAA,AVHRR,90.269,19.786,29.002,16.053,13.9,C2,7.42814,1.00557,1.52557,0.542629,3400,28.58
26.59,-106.05,2017-05-12 22:01:00,NOAA,AVHRR,90.269,19.944,29.376,16.052,13.954,C2,7.47725,1.01291,1.53291,0.547588,3439,28.58
25.85,-106.38,2017-05-12 22:01:00,NOAA,AVHRR,90.786,5.576,0,16.161,3.826,C2,3.54112e-07,0,0,0,0,28.58
25.85,-106.39,2017-05-12 22:01:00,NOAA,AVHRR,90.785,18.915,0,16.159,3.824,C2,3.53986e-07,0,0,0,0,28.58
25.79,-106.97,2017-05-12 22:01:00,NOAA,AVHRR,91.069,52.103,0,15.939,3.952,D1,0.00341659,0,0,0,0,21.44
28.97,-106.89,2017-05-12 22:01:00,NOAA,AVHRR,91.991,31.434,0,14.224,4.15,M1,0.000150452,0,0,0,0,32.4
