lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea, area, heat, area fraction, flaming fraction, smoldering fraction, residual fraction
31.980, -95.91, 2017-03-02 00:13:00, NOAA, AVHRR, 80.6 19.4 79.8 24.3 20.1, D1, 3.799950, 0.535064, 0.535064, 1.113680, 610, 148.31,0.00;4.40;3.46;2.66;1.98;1.48;1.13;0.88;0.71;0.59;0.50;0.44;0.40;0.37;0.77;0.99;1.65;2.17;3.47;4.88;3.66;4.25;4.77;5.33;4.95;4.40;3.46;2.66;1.98;1.48;1.13;0.88;0.71;0.59;0.50;0.44;0.40;0.37;0.77;0.99;1.65;2.17;3.47;4.88;3.66;4.25;4.77;5.33;4.95;4.40;3.46;2.66;1.98;1.48;1.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 6.46e+011;1.32e+011;1.03e+011;7.85e+010;5.79e+010;4.29e+010;3.24e+010;2.51e+010;2.00e+010;1.65e+010;1.40e+010;1.22e+010;1.09e+010;1.05e+010;2.21e+010;2.89e+010;4.87e+010;6.51e+010;1.05e+011;1.46e+011;1.10e+011;1.28e+011;1.45e+011;1.61e+011;1.49e+011;1.32e+011;1.03e+011;7.85e+010;5.79e+010;4.29e+010;3.24e+010;2.51e+010;2.00e+010;1.65e+010;1.40e+010;1.22e+010;1.09e+010;1.05e+010;2.21e+010;2.89e+010;4.87e+010;6.51e+010;1.05e+011;1.46e+011;1.10e+011;1.28e+011;1.45e+011;1.61e+011;1.49e+011;1.32e+011;1.03e+011;7.85e+010;5.79e+010;4.29e+010;3.24e+010;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,0.0000;0.0297;0.0233;0.0179;0.0133;0.0100;0.0076;0.0059;0.0048;0.0040;0.0034;0.0030;0.0027;0.0025;0.0052;0.0066;0.0111;0.0147;0.0234;0.0329;0.0247;0.0286;0.0322;0.0359;0.0333;0.0297;0.0233;0.0179;0.0133;0.0100;0.0076;0.0059;0.0048;0.0040;0.0034;0.0030;0.0027;0.0025;0.0052;0.0066;0.0111;0.0147;0.0234;0.0329;0.0247;0.0286;0.0322;0.0359;0.0333;0.0297;0.0233;0.0179;0.0133;0.0100;0.0076;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, 0.0000;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, 0.0000;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, -999.
31.980, -95.92, 2017-03-02 00:13:00, NOAA, AVHRR, 80.7 19.1 77.1 24.3 20.0, D1, 3.824090, 0.525820, 0.525820, 1.086600, 603, 148.98,0.00;4.43;3.48;2.68;1.99;1.49;1.13;0.89;0.71;0.59;0.50;0.44;0.40;0.37;0.77;0.99;1.66;2.19;3.48;4.88;3.69;4.27;4.80;5.36;4.97;4.43;3.48;2.68;1.99;1.49;1.13;0.89;0.71;0.59;0.50;0.44;0.40;0.37;0.77;0.99;1.66;2.19;3.48;4.88;3.69;4.27;4.80;5.36;4.97;4.43;3.48;2.68;1.99;1.49;1.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 6.36e+011;1.30e+011;1.02e+011;7.76e+010;5.73e+010;4.24e+010;3.20e+010;2.48e+010;1.98e+010;1.62e+010;1.38e+010;1.20e+010;1.07e+010;1.03e+010;2.18e+010;2.86e+010;4.82e+010;6.44e+010;1.03e+011;1.44e+011;1.09e+011;1.27e+011;1.43e+011;1.59e+011;1.47e+011;1.30e+011;1.02e+011;7.76e+010;5.73e+010;4.24e+010;3.20e+010;2.48e+010;1.98e+010;1.62e+010;1.38e+010;1.20e+010;1.07e+010;1.03e+010;2.18e+010;2.86e+010;4.82e+010;6.44e+010;1.03e+011;1.44e+011;1.09e+011;1.27e+011;1.43e+011;1.59e+011;1.47e+011;1.30e+011;1.02e+011;7.76e+010;5.73e+010;4.24e+010;3.20e+010;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,0.0000;0.0297;0.0234;0.0180;0.0134;0.0100;0.0076;0.0059;0.0048;0.0040;0.0034;0.0030;0.0027;0.0025;0.0052;0.0067;0.0111;0.0147;0.0234;0.0328;0.0248;0.0287;0.0322;0.0360;0.0334;0.0297;0.0234;0.0180;0.0134;0.0100;0.0076;0.0059;0.0048;0.0040;0.0034;0.0030;0.0027;0.0025;0.0052;0.0067;0.0111;0.0147;0.0234;0.0328;0.0248;0.0287;0.0322;0.0360;0.0334;0.0297;0.0234;0.0180;0.0134;0.0100;0.0076;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, 0.0000;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, 0.0000;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0185;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, -999.
31.980, -95.90, 2017-03-02 00:13:00, NOAA, AVHRR, 80.6 19.5 79.2 24.3 20.1, C1, 8.175160, 1.395260, 1.995260, 1.106990, 4893, 219.42,0.00;8.59;5.11;2.81;1.40;0.69;0.35;0.19;0.11;0.06;0.04;0.03;0.02;0.02;0.13;0.25;0.89;1.75;5.14;10.70;5.79;7.96;10.19;12.78;10.97;8.59;5.11;2.81;1.40;0.69;0.35;0.19;0.11;0.06;0.04;0.03;0.02;0.02;0.13;0.25;0.89;1.75;5.14;10.70;5.79;7.96;10.19;12.78;10.97;8.59;5.11;2.81;1.40;0.69;0.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 1.50e+012;4.47e+011;2.62e+011;1.41e+011;3.73e+010;1.10e+010;3.69e+009;1.36e+009;5.47e+008;2.41e+008;1.16e+008;6.08e+007;3.41e+007;1.56e+008;1.65e+009;9.44e+009;4.53e+010;9.08e+010;2.71e+011;5.57e+011;3.03e+011;4.19e+011;6.15e+011;6.74e+011;5.76e+011;4.47e+011;2.62e+011;1.41e+011;3.73e+010;1.10e+010;3.69e+009;1.36e+009;5.47e+008;2.41e+008;1.16e+008;6.08e+007;3.41e+007;1.56e+008;1.65e+009;9.44e+009;4.53e+010;9.08e+010;2.71e+011;5.57e+011;3.03e+011;4.19e+011;6.15e+011;6.74e+011;5.76e+011;4.47e+011;2.62e+011;1.41e+011;3.73e+010;1.10e+010;3.69e+009;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,0.0000;0.0392;0.0233;0.0128;0.0064;0.0031;0.0016;0.0008;0.0005;0.0003;0.0002;0.0001;0.0001;0.0001;0.0006;0.0011;0.0041;0.0080;0.0234;0.0488;0.0264;0.0363;0.0464;0.0582;0.0500;0.0392;0.0233;0.0128;0.0064;0.0031;0.0016;0.0008;0.0005;0.0003;0.0002;0.0001;0.0001;0.0001;0.0006;0.0011;0.0041;0.0080;0.0234;0.0488;0.0264;0.0363;0.0464;0.0582;0.0500;0.0392;0.0233;0.0128;0.0064;0.0031;0.0016;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, 0.0000;0.0299;0.0296;0.0291;0.0154;0.0093;0.0062;0.0044;0.0031;0.0022;0.0016;0.0012;0.0009;0.0050;0.0075;0.0220;0.0293;0.0299;0.0302;0.0300;0.0301;0.0301;0.0328;0.0302;0.0301;0.0299;0.0296;0.0291;0.0154;0.0093;0.0062;0.0044;0.0031;0.0022;0.0016;0.0012;0.0009;0.0050;0.0075;0.0220;0.0293;0.0299;0.0302;0.0300;0.0301;0.0301;0.0328;0.0302;0.0301;0.0299;0.0296;0.0291;0.0154;0.0093;0.0062;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, 0.0000;0.0363;0.0309;0.0202;0.0047;0.0028;0.0019;0.0013;0.0009;0.0007;0.0005;0.0004;0.0003;0.0015;0.0023;0.0066;0.0245;0.0363;0.0407;0.0371;0.0391;0.0405;0.0420;0.0408;0.0396;0.0363;0.0309;0.0202;0.0047;0.0028;0.0019;0.0013;0.0009;0.0007;0.0005;0.0004;0.0003;0.0015;0.0023;0.0066;0.0245;0.0363;0.0407;0.0371;0.0391;0.0405;0.0420;0.0408;0.0396;0.0363;0.0309;0.0202;0.0047;0.0028;0.0019;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000, 0.0000;0.0389;0.0314;0.0163;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0224;0.0390;0.0452;0.0402;0.0430;0.0449;0.0464;0.0454;0.0436;0.0389;0.0314;0.0163;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0224;0.0390;0.0452;0.0402;0.0430;0.0449;0.0464;0.0454;0.0436;0.0389;0.0314;0.0163;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
 35.910, -119.88, 2017-03-02 01:59:00, NOAA, AVHRR, 75.8 8.9 135.8 10.9 5.2, low_, 1.734730, 0.100000, 0.100000, 1.623820, 52, 0.00,0.00;0.00;-9.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 0.00e+000;0.00e+000;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,-999., -999., -999., -999.
35.910, -119.87, 2017-03-02 01:59:00, NOAA, AVHRR, 75.8 9.0 137.0 10.9 5.2, low_, 1.739590, 0.100000, 0.100000, 1.634240, 52, 0.00,0.00;0.00;-9.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 0.00e+000;0.00e+000;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,-999., -999., -999., -999.
36.690, -120.17, 2017-03-02 01:59:00, NOAA, AVHRR, 75.8 9.2 127.2 8.9 4.7, low_, 1.508830, 0.100000, 0.100000, 1.550510, 45, 0.00,0.00;0.00;-9.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 0.00e+000;0.00e+000;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,-999., -999., -999., -999.
36.620, -119.95, 2017-03-02 01:59:00, NOAA, AVHRR, 75.8 9.5 146.3 9.2 5.0, low_, 1.558010, 0.100000, 0.100000, 1.712280, 47, 0.00,0.00;0.00;-9.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 0.00e+000;0.00e+000;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,-999., -999., -999., -999.
36.690, -120.16, 2017-03-02 01:59:00, NOAA, AVHRR, 75.8 9.2 127.8 8.9 4.7, low_, 1.511790, 0.100000, 0.100000, 1.555540, 45, 0.00,0.00;0.00;-9.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 0.00e+000;0.00e+000;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,-999., -999., -999., -999.
36.620, -119.94, 2017-03-02 01:59:00, NOAA, AVHRR, 75.8 9.6 147.3 9.2 5.0, low_, 1.560990, 0.100000, 0.100000, 1.720030, 47, 0.00,0.00;0.00;-9.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 0.00e+000;0.00e+000;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,-999., -999., -999., -999.
36.630, -119.94, 2017-03-02 01:59:00, NOAA, AVHRR, 75.9 9.6 146.8 9.2 5.0, low_, 1.562770, 0.100000, 0.100000, 1.715920, 47, 0.00,0.00;0.00;-9.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00, 0.00e+000;0.00e+000;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;-9.99e+002;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000;0.00e+000,-999., -999., -999., -999.
