lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
51.73,-94.97,2017-09-12 01:19:00,NOAA,AVHRR,16.653,O1,0.514229,0.35,0.35,0.225156,54,30.21
51.73,-95.03,2017-09-12 01:19:00,NOAA,AVHRR,17.022,O1,0.689549,0.35,0.35,0.232495,72,30.21
43.61,-103.46,2017-09-12 01:19:00,NOAA,AVHRR,49.121,O1,25.5777,0.35,0.35,0.364235,2686,30.21
43.61,-103.45,2017-09-12 01:19:00,NOAA,AVHRR,49.277,O1,25.6115,0.35,0.35,0.365091,2689,30.21
51.73,-95.01,2017-09-12 01:19:00,NOAA,AVHRR,16.898,C2,7.79436,2.10481,2.72081,3.28512,6362,46.35
55.16,-103.14,2017-09-12 01:19:00,NOAA,AVHRR,25.124,D1,0.281253,1.33647,1.33647,4.26432,113,32.47
55.17,-103.13,2017-09-12 01:19:00,NOAA,AVHRR,24.915,C2,8.19719,3.75482,4.41082,4.26076,10847,42.33
55.2,-102.24,2017-09-12 01:19:00,NOAA,AVHRR,13.017,C2,3.27232,3.03799,3.36599,3.59309,3304,42.33
54.91,-102.45,2017-09-12 01:19:00,NOAA,AVHRR,19.642,C2,5.88265,3.43842,3.99042,3.83568,7042,42.33
54.81,-102.56,2017-09-12 01:19:00,NOAA,AVHRR,21.71,C2,6.97532,3.49107,4.09907,3.87025,8578,42.33
54.8,-102.52,2017-09-12 01:19:00,NOAA,AVHRR,21.044,C2,6.73071,3.434,4.026,3.81925,8129,42.33
54.86,-102.4,2017-09-12 01:19:00,NOAA,AVHRR,19.048,C2,5.78491,3.3432,3.8872,3.75015,6746,42.33
54.87,-102.48,2017-09-12 01:19:00,NOAA,AVHRR,20.345,C2,6.23365,3.46069,4.02869,3.85028,7534,42.33
54.87,-102.43,2017-09-12 01:19:00,NOAA,AVHRR,19.312,C2,5.90803,3.35482,3.90682,3.76518,6924,42.33
54.87,-102.42,2017-09-12 01:19:00,NOAA,AVHRR,19.155,C2,5.84764,3.34284,3.88684,3.75545,6819,42.33
54.88,-102.47,2017-09-12 01:19:00,NOAA,AVHRR,20.072,C2,6.13573,3.43713,3.99713,3.8315,7358,42.33
54.91,-102.42,2017-09-12 01:19:00,NOAA,AVHRR,18.957,C2,5.67651,3.36497,3.90097,3.77933,6643,42.33
54.88,-102.44,2017-09-12 01:19:00,NOAA,AVHRR,19.453,C2,5.93234,3.37707,3.92907,3.78436,6993,42.33
54.86,-102.37,2017-09-12 01:19:00,NOAA,AVHRR,18.569,C2,5.60845,3.30382,3.83182,3.71932,6447,42.33
54.89,-102.44,2017-09-12 01:19:00,NOAA,AVHRR,19.401,C2,5.8896,3.38182,3.93382,3.78991,6951,42.33
54.91,-102.48,2017-09-12 01:19:00,NOAA,AVHRR,20.118,C2,6.07032,3.47212,4.03212,3.86522,7343,42.33
54.86,-102.39,2017-09-12 01:19:00,NOAA,AVHRR,18.806,C2,5.7158,3.31531,3.85131,3.72993,6604,42.33
54.87,-102.38,2017-09-12 01:19:00,NOAA,AVHRR,18.465,C2,5.60381,3.28173,3.80973,3.70873,6405,42.33
