lat, lon, rep_date, source, sensor, ffmc, dmc, dc, ws, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
51.73,-94.97,12/09/2017 1:19,NOAA,AVHRR,90.584,27.708,355.41,8.341,16.653,O1,0.514229,0.35,0.35,0.225156,54,30.21
51.73,-95.03,12/09/2017 1:19,NOAA,AVHRR,90.616,28.673,371.834,8.326,17.022,O1,0.689549,0.35,0.35,0.232495,72,30.21
43.61,-103.46,12/09/2017 1:19,NOAA,AVHRR,94.671,108.021,699.766,12.436,49.121,O1,25.5777,0.35,0.35,0.364235,2686,30.21
43.61,-103.45,12/09/2017 1:19,NOAA,AVHRR,94.674,109.477,702.083,12.448,49.277,O1,25.6115,0.35,0.35,0.365091,2689,30.21
51.73,-95.01,12/09/2017 1:19,NOAA,AVHRR,90.605,28.352,366.357,8.331,16.898,C2,7.79436,2.10481,2.72081,3.28512,6362,46.35
55.16,-103.14,12/09/2017 1:19,NOAA,AVHRR,87.757,84.825,529.03,14.16,25.124,D1,0.281253,1.33647,1.33647,4.26432,113,32.47
55.17,-103.13,12/09/2017 1:19,NOAA,AVHRR,87.691,84.647,528.407,14.133,24.915,C2,8.19719,3.75482,4.41082,4.26076,10847,42.33
55.2,-102.24,12/09/2017 1:19,NOAA,AVHRR,84.379,53.845,415.639,11.338,13.017,C2,3.27232,3.03799,3.36599,3.59309,3304,42.33
54.91,-102.45,12/09/2017 1:19,NOAA,AVHRR,86.922,70.039,455.702,11.954,19.642,C2,5.88265,3.43842,3.99042,3.83568,7042,42.33
54.81,-102.56,12/09/2017 1:19,NOAA,AVHRR,87.671,72.564,461.497,12.198,21.71,C2,6.97532,3.49107,4.09907,3.87025,8578,42.33
54.8,-102.52,12/09/2017 1:19,NOAA,AVHRR,87.558,69.966,452.954,12.084,21.044,C2,6.73071,3.434,4.026,3.81925,8129,42.33
54.86,-102.4,12/09/2017 1:19,NOAA,AVHRR,86.942,65.964,441.455,11.793,19.048,C2,5.78491,3.3432,3.8872,3.75015,6746,42.33
54.87,-102.48,12/09/2017 1:19,NOAA,AVHRR,87.179,71.093,458.147,12.023,20.345,C2,6.23365,3.46069,4.02869,3.85028,7534,42.33
54.87,-102.43,12/09/2017 1:19,NOAA,AVHRR,87.012,66.402,443.949,11.878,19.312,C2,5.90803,3.35482,3.90682,3.76518,6924,42.33
54.87,-102.42,12/09/2017 1:19,NOAA,AVHRR,86.976,65.897,442.334,11.851,19.155,C2,5.84764,3.34284,3.88684,3.75545,6819,42.33
54.88,-102.47,12/09/2017 1:19,NOAA,AVHRR,87.122,70.011,455.003,11.992,20.072,C2,6.13573,3.43713,3.99713,3.8315,7358,42.33
54.91,-102.42,12/09/2017 1:19,NOAA,AVHRR,86.808,66.778,446.301,11.872,18.957,C2,5.67651,3.36497,3.90097,3.77933,6643,42.33
54.88,-102.44,12/09/2017 1:19,NOAA,AVHRR,87.01,67.342,447.137,11.911,19.453,C2,5.93234,3.37707,3.92907,3.78436,6993,42.33
54.86,-102.37,12/09/2017 1:19,NOAA,AVHRR,86.833,64.325,436.352,11.715,18.569,C2,5.60845,3.30382,3.83182,3.71932,6447,42.33
54.89,-102.44,12/09/2017 1:19,NOAA,AVHRR,86.969,67.531,448.061,11.916,19.401,C2,5.8896,3.38182,3.93382,3.78991,6951,42.33
54.91,-102.48,12/09/2017 1:19,NOAA,AVHRR,87.036,71.566,460.652,12.037,20.118,C2,6.07032,3.47212,4.03212,3.86522,7343,42.33
54.86,-102.39,12/09/2017 1:19,NOAA,AVHRR,86.905,64.783,438.107,11.767,18.806,C2,5.7158,3.31531,3.85131,3.72993,6604,42.33
54.87,-102.38,12/09/2017 1:19,NOAA,AVHRR,86.829,63.368,434.603,11.746,18.465,C2,5.60381,3.28173,3.80973,3.70873,6405,42.33
55.26,-102.17,12/09/2017 1:19,NOAA,AVHRR,83.692,52.087,404.955,11.089,11.766,C2,2.79976,2.98034,3.25234,3.52726,2732,42.33
54.8,-102.49,12/09/2017 1:19,NOAA,AVHRR,87.453,68.606,448.507,12.005,20.584,C2,6.5372,3.40319,3.98719,3.79258,7820,42.33
54.81,-102.48,12/09/2017 1:19,NOAA,AVHRR,87.387,69.506,451.068,11.985,20.543,C2,6.45488,3.42323,3.99923,3.80795,7744,42.33
55.16,-103.12,12/09/2017 1:19,NOAA,AVHRR,87.735,87.898,533.807,14.101,25.299,M1,4.27665,2.60431,2.69631,4.29163,3459,39.92
55.16,-103.1,12/09/2017 1:19,NOAA,AVHRR,87.72,87.205,532.334,14.055,25.157,M1,4.24815,2.59786,2.68586,4.28322,3423,39.92
54.87,-102.46,12/09/2017 1:19,NOAA,AVHRR,87.124,68.383,450.019,11.959,19.849,M1,3.19025,2.36045,2.36045,3.80166,2259,39.92
55.34,-102.75,12/09/2017 1:19,NOAA,AVHRR,85.099,73.099,486.387,12.863,17.246,M1,2.29536,2.43776,2.43776,4.01732,1679,39.92
55.36,-102.75,12/09/2017 1:19,NOAA,AVHRR,84.971,71.557,482.157,12.798,16.829,M1,2.22448,2.41811,2.41811,3.99248,1614,39.92
54.88,-102.48,12/09/2017 1:19,NOAA,AVHRR,87.14,70.444,456.921,12.029,20.193,M1,3.22506,2.38918,2.38918,3.84296,2312,39.92
