lat, lon, rep_date, source, sensor, fwi, fuel, ros, sfc, tfc, bfc, hfi, estarea
47.06,-113.73,2017-08-15 01:42:00,NOAA,AVHRR,34.587,C3,3.83125,4.60889,4.86189,2.98196,5588,28.58
48.23,-115.08,2017-08-15 01:42:00,NOAA,AVHRR,37.406,C3,5.0032,4.70096,5.17246,4.67751,7764,28.58
47.11,-114.9,2017-08-15 01:42:00,NOAA,AVHRR,37.069,C3,4.7156,4.81891,5.25591,4.49914,7435,28.58
46.72,-114.26,2017-08-15 01:42:00,NOAA,AVHRR,36.851,C3,4.6157,4.81594,5.24144,3.79589,7258,28.58
47.06,-113.75,2017-08-15 01:42:00,NOAA,AVHRR,34.744,C3,3.86375,4.63802,4.90252,3.11079,5683,28.58
57.69,-107.59,2017-08-15 01:42:00,NOAA,AVHRR,20.027,C1,0.78528,1.2769,1.2769,2.90027,301,42.33
57.69,-107.61,2017-08-15 01:42:00,NOAA,AVHRR,19.913,C1,0.767299,1.27421,1.27421,2.89893,293,42.33
46.73,-114.26,2017-08-15 01:42:00,NOAA,AVHRR,36.966,C3,4.64504,4.84738,5.27288,4.06134,7348,28.58
46.73,-114.25,2017-08-15 01:42:00,NOAA,AVHRR,36.928,C3,4.63725,4.83359,5.25909,3.94243,7316,28.58
26.89,-101.44,2017-08-15 01:42:00,NOAA,AVHRR,12.938,D1,0.0781851,1.29972,1.29972,4.90824,30,21.44
46.39,-113.56,2017-08-15 01:42:00,NOAA,AVHRR,30.976,C3,2.47223,4.68288,4.68288,3.29839,3473,28.58
46.4,-113.55,2017-08-15 01:42:00,NOAA,AVHRR,31.07,C3,2.58303,4.57564,4.57564,3.04244,3546,28.58
27.33,-99.57,2017-08-15 01:42:00,NOAA,AVHRR,14.971,D1,0.0777507,1.42507,1.42507,4.892,33,21.44
46.73,-114.29,2017-08-15 01:42:00,NOAA,AVHRR,37.618,C3,4.93131,4.88739,5.37039,4.41997,7945,28.58
46.74,-114.28,2017-08-15 01:42:00,NOAA,AVHRR,37.058,C3,4.67542,4.86599,5.30299,4.24443,7438,28.58
46.74,-114.27,2017-08-15 01:42:00,NOAA,AVHRR,37.05,C3,4.67252,4.86512,5.30212,4.23531,7432,28.58
46.73,-114.28,2017-08-15 01:42:00,NOAA,AVHRR,37,C3,4.65411,4.85742,5.28292,4.15451,7376,28.58
47.11,-114.88,2017-08-15 01:42:00,NOAA,AVHRR,36.983,C3,4.69951,4.79111,5.22811,4.32593,7371,28.58
54.33,-102.06,2017-08-15 01:42:00,NOAA,AVHRR,20.839,C2,7.46427,3.15665,3.78065,3.31915,8466,42.33
54.32,-102.06,2017-08-15 01:42:00,NOAA,AVHRR,20.801,C2,7.439,3.15655,3.78055,3.31528,8437,42.33
54.32,-102.01,2017-08-15 01:42:00,NOAA,AVHRR,20.686,C2,7.36023,3.15657,3.77257,3.31738,8330,42.33
54.31,-102.01,2017-08-15 01:42:00,NOAA,AVHRR,20.644,C3,1.52593,2.69539,2.69539,3.31258,1234,42.33
54.1,-96.93,2017-08-15 01:42:00,NOAA,AVHRR,23.202,C2,9.34269,3.11392,3.80192,3.50213,10656,42.81
54.1,-96.89,2017-08-15 01:42:00,NOAA,AVHRR,23.064,C2,9.24456,3.11192,3.79192,3.50101,10516,42.81
47.11,-114.89,2017-08-15 01:42:00,NOAA,AVHRR,36.991,C3,4.70336,4.79122,5.22822,4.32706,7377,28.58
47.1,-114.9,2017-08-15 01:42:00,NOAA,AVHRR,37.771,C3,5.05204,4.82403,5.31853,4.43046,8061,28.58
47.1,-114.91,2017-08-15 01:42:00,NOAA,AVHRR,37.768,C3,5.05526,4.81878,5.31328,4.39507,8058,28.58
